MoleculeType	Identifier	MoleculeName	
Proteins	Q96P68	UniProt:Q96P68 OXGR1	
Proteins	P48039	UniProt:P48039 MTNR1A	
Proteins	P49286	UniProt:P49286 MTNR1B	
Proteins	O00574	UniProt:O00574 CXCR6	
Proteins	Q9H2A7	UniProt:Q9H2A7 CXCL16	
Proteins	Q14330	UniProt:Q14330 GPR18	
Proteins	Q9UBY5	UniProt:Q9UBY5 LPAR3	
Proteins	Q9HBW0	UniProt:Q9HBW0 LPAR2	
Proteins	Q9H1C0	UniProt:Q9H1C0 LPAR5	
Proteins	Q92633	UniProt:Q92633 LPAR1	
Proteins	Q9NYV8	UniProt:Q9NYV8 TAS2R14	
Proteins	P59544	UniProt:P59544 TAS2R50	
Proteins	P59537	UniProt:P59537 TAS2R43	
Proteins	P59551	UniProt:P59551 TAS2R60	
Proteins	P59536	UniProt:P59536 TAS2R41	
Proteins	Q9NYW0	UniProt:Q9NYW0 TAS2R10	
Proteins	Q9NYW2	UniProt:Q9NYW2 TAS2R8	
Proteins	Q9NYW6	UniProt:Q9NYW6 TAS2R3	
Proteins	P59541	UniProt:P59541 TAS2R30	
Proteins	P59538	UniProt:P59538 TAS2R31	
Proteins	P59543	UniProt:P59543 TAS2R20	
Proteins	P59542	UniProt:P59542 TAS2R19	
Proteins	Q9NYV9	UniProt:Q9NYV9 TAS2R13	
Proteins	P59539	UniProt:P59539 TAS2R45	
Proteins	P59533	UniProt:P59533 TAS2R38	
Proteins	Q9NYW1	UniProt:Q9NYW1 TAS2R9	
Proteins	Q7RTR8	UniProt:Q7RTR8 TAS2R42	
Proteins	P59540	UniProt:P59540 TAS2R46	
Proteins	Q9NYW7	UniProt:Q9NYW7 TAS2R1	
Proteins	P59535	UniProt:P59535 TAS2R40	
Proteins	P59534	UniProt:P59534 TAS2R39	
Proteins	Q9NYW4	UniProt:Q9NYW4 TAS2R5	
Proteins	Q9NYV7	UniProt:Q9NYV7 TAS2R16	
Proteins	Q9NYW3	UniProt:Q9NYW3 TAS2R7	
Proteins	Q9NYW5	UniProt:Q9NYW5 TAS2R4	
Proteins	P35372	UniProt:P35372 OPRM1	
Proteins	P41145	UniProt:P41145 OPRK1	
Proteins	P41143	UniProt:P41143 OPRD1	
Proteins	P01213	UniProt:P01213 PDYN	
Proteins	P01210	UniProt:P01210 PENK	
Proteins	P01189	UniProt:P01189 POMC	
Proteins	P49019	UniProt:P49019 HCAR3	
Proteins	P08173	UniProt:P08173 CHRM4	
Proteins	P08172	UniProt:P08172 CHRM2	
Proteins	Q99616	UniProt:Q99616 CCL13	
Proteins	P41597	UniProt:P41597 CCR2	
Proteins	Q16581	UniProt:Q16581 C3AR1	
Proteins	P01024	UniProt:P01024 C3	
Proteins	Q99500	UniProt:Q99500 S1PR3	
Proteins	O95977	UniProt:O95977 S1PR4	
Proteins	Q9H228	UniProt:Q9H228 S1PR5	
Proteins	O95136	UniProt:O95136 S1PR2	
Proteins	Q9BXA5	UniProt:Q9BXA5 SUCNR1	
Proteins	P51685	UniProt:P51685 CCR8	
Proteins	O15467	UniProt:O15467 CCL16	
Proteins	Q9NRV9	UniProt:Q9NRV9 HEBP1	
Proteins	P25089	UniProt:P25089 FPR3	
Proteins	O00270	UniProt:O00270 GPR31	
Proteins	P22362	UniProt:P22362 CCL1	
