MoleculeType	Identifier	MoleculeName	
Proteins	A5LHX3	UniProt:A5LHX3 PSMB11	
Proteins	Q14997	UniProt:Q14997 PSME4	
Proteins	Q99436	UniProt:Q99436 PSMB7	
Proteins	P28072	UniProt:P28072 PSMB6	
Proteins	Q8TAA3	UniProt:Q8TAA3 PSMA8	
Proteins	Q92530	UniProt:Q92530 PSMF1	
Proteins	P61289	UniProt:P61289 PSME3	
Proteins	P28074	UniProt:P28074 PSMB5	
Proteins	Q9UL46	UniProt:Q9UL46 PSME2	
Proteins	P28070	UniProt:P28070 PSMB4	
Proteins	Q06323	UniProt:Q06323 PSME1	
Proteins	O00233	UniProt:O00233 PSMD9	
Proteins	P49720	UniProt:P49720 PSMB3	
Proteins	P48556	UniProt:P48556 PSMD8	
Proteins	P49721	UniProt:P49721 PSMB2	
Proteins	P51665	UniProt:P51665 PSMD7	
Proteins	Q15008	UniProt:Q15008 PSMD6	
Proteins	P40306	UniProt:P40306 PSMB10	
Proteins	Q16401	UniProt:Q16401 PSMD5	
Proteins	P20618	UniProt:P20618 PSMB1	
Proteins	P55036	UniProt:P55036 PSMD4	
Proteins	O14818	UniProt:O14818 PSMA7	
Proteins	Q93098	UniProt:Q93098 WNT8B	
Proteins	Q9H1J5	UniProt:Q9H1J5 WNT8A	
Proteins	P04628	UniProt:P04628 WNT1	
Proteins	Q9UP38	UniProt:Q9UP38 FZD1	
Proteins	Q14332	UniProt:Q14332 FZD2	
Proteins	Q76N89	UniProt:Q76N89 HECW1	
Proteins	P62877	UniProt:P62877 RBX1	
Proteins	Q13618	UniProt:Q13618 CUL3	
Proteins	Q53G59	UniProt:Q53G59 KLHL12	
Proteins	Q9NYF0	UniProt:Q9NYF0 DACT1	
Proteins	O75473	UniProt:O75473 LGR5	
Proteins	Q9HBX8	UniProt:Q9HBX8 LGR6	
Proteins	Q9BXB1	UniProt:Q9BXB1 LGR4	
Proteins	Q6UXX9	UniProt:Q6UXX9 RSPO2	
Proteins	Q2I0M5	UniProt:Q2I0M5 RSPO4	
Proteins	Q2MKA7	UniProt:Q2MKA7 RSPO1	
Proteins	Q9BXY4	UniProt:Q9BXY4 RSPO3	
Proteins	P40818	UniProt:P40818 USP8	
Proteins	Q13467	UniProt:Q13467 FZD5	
Proteins	O60353	UniProt:O60353 FZD6	
Proteins	Q9H461	UniProt:Q9H461 FZD8	
Proteins	Q9ULV1	UniProt:Q9ULV1 FZD4	
Proteins	Q68DV7	UniProt:Q68DV7 RNF43	
Proteins	Q9ULT6	UniProt:Q9ULT6 ZNRF3	
Proteins	P34925	UniProt:P34925 RYK	
Proteins	P56703	UniProt:P56703 WNT3	
Proteins	P49841	UniProt:P49841 GSK3B	
Proteins	Q03135	UniProt:Q03135 CAV1	
Proteins	P25054	UniProt:P25054 APC	
Proteins	Q5JTC6	UniProt:Q5JTC6 AMER1	
Proteins	P30153	UniProt:P30153 PPP2R1A	
Proteins	P30154	UniProt:P30154 PPP2R1B	
Proteins	Q15173	UniProt:Q15173 PPP2R5B	
Proteins	Q13362	UniProt:Q13362 PPP2R5C	
Proteins	Q15172	UniProt:Q15172 PPP2R5A	
Proteins	Q14738	UniProt:Q14738 PPP2R5D	
Proteins	Q16537	UniProt:Q16537 PPP2R5E	
